instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,01-01-2011,1,0,1,0,False,6,1,0.24,0.2879,0.81,0.0,3,13,16.0
2,01-01-2011,1,0,1,1,False,6,1,0.22,0.2727,0.8,0.0,8,32,40.0
3,01-01-2011,1,0,1,2,False,6,1,0.22,0.2727,0.8,0.0,5,27,32.0
4,01-01-2011,1,0,1,3,False,6,1,0.24,0.2879,0.75,0.0,3,10,13.0
5,01-01-2011,1,0,1,4,False,6,1,0.24,0.2879,0.75,0.0,0,1,1.0
6,01-01-2011,1,0,1,5,False,6,2,0.24,0.2576,0.75,0.0896,0,1,1.0
7,01-01-2011,1,0,1,6,False,6,1,0.22,0.2727,0.8,0.0,2,0,2.0
8,01-01-2011,1,0,1,7,False,6,1,0.2,0.2576,0.86,0.0,1,2,3.0
9,01-01-2011,1,0,1,8,False,6,1,0.24,0.197,0.75,0.0,1,7,8.0
10,01-01-2011,1,0,1,9,False,6,1,0.32,0.3485,0.76,0.0,8,6,14.0
11,01-01-2011,1,0,1,10,False,6,1,0.36,0.3939,0.76,0.2537,12,24,36.0
12,01-01-2011,1,0,1,11,False,6,1,0.36,0.3333,0.81,0.2836,26,30,56.0
13,01-01-2011,1,0,1,12,False,6,1,0.36,0.39395,0.77,0.2836,29,55,84.0
14,01-01-2011,1,0,1,13,False,6,2,0.36,0.39395,0.72,0.2985,47,47,94.0
15,01-01-2011,1,0,1,14,False,6,2,0.36,0.39395,0.72,0.2836,35,71,106.0
16,01-01-2011,1,0,1,15,False,6,2,0.36,0.39395,0.77,0.2985,40,70,110.0
17,01-01-2011,1,0,1,16,False,6,2,0.36,0.39395,0.82,0.2985,41,52,93.0
18,01-01-2011,1,0,1,17,False,6,2,0.36,0.197,0.82,0.2836,15,52,67.0
19,01-01-2011,1,0,1,18,False,6,3,0.36,0.39395,0.88,0.2537,9,26,35.0
20,01-01-2011,1,0,1,19,False,6,3,0.36,0.39395,0.88,0.2537,6,31,37.0
21,01-01-2011,1,0,1,20,False,6,2,0.36,0.39395,0.87,0.2537,11,25,36.0
22,01-01-2011,1,0,1,21,False,6,2,0.36,0.39395,0.87,0.194,3,31,34.0
23,01-01-2011,1,0,1,22,False,6,2,0.36,0.39395,0.94,0.2239,11,17,28.0
24,01-01-2011,1,0,1,23,False,6,2,0.36,0.197,0.88,0.2985,15,24,39.0
25,02-01-2011,1,0,1,0,False,0,2,0.36,0.39395,0.88,0.2985,4,13,17.0
26,02-01-2011,1,0,1,1,False,0,2,0.36,0.39395,0.94,0.2537,1,16,17.0
27,02-01-2011,1,0,1,2,False,0,2,0.36,0.39395,1.0,0.2836,1,8,9.0
28,02-01-2011,1,0,1,3,False,0,2,0.36,0.39395,0.94,0.194,2,4,6.0
29,02-01-2011,1,0,1,4,False,0,2,0.36,0.197,0.94,0.194,2,1,3.0
30,02-01-2011,1,0,1,6,False,0,3,0.36,0.39395,0.77,0.2985,0,2,2.0
31,02-01-2011,1,0,1,7,False,0,2,0.36,0.39395,0.76,0.194,0,1,1.0
32,02-01-2011,1,0,1,8,False,0,3,0.36,0.39395,0.71,0.2239,0,8,8.0
33,02-01-2011,1,0,1,9,False,0,2,0.36,0.197,0.76,0.2239,1,19,20.0
34,02-01-2011,1,0,1,10,False,0,2,0.36,0.3485,0.81,0.2239,7,46,53.0
35,02-01-2011,1,0,1,11,False,0,2,0.36,0.3333,0.71,0.2537,16,54,70.0
36,02-01-2011,1,0,1,12,False,0,2,0.36,0.3333,0.66,0.2985,20,73,93.0
37,02-01-2011,1,0,1,13,False,0,2,0.36,0.3485,0.66,0.1343,11,64,75.0
38,02-01-2011,1,0,1,14,False,0,3,0.36,0.197,0.76,0.194,4,55,59.0
39,02-01-2011,1,0,1,15,False,0,3,0.34,0.3333,0.81,0.1642,19,55,74.0
40,02-01-2011,1,0,1,16,False,0,3,0.34,0.3333,0.71,0.1642,9,67,76.0
41,02-01-2011,1,0,1,17,False,0,1,0.34,0.3333,0.57,0.194,7,58,65.0
42,02-01-2011,1,0,1,18,False,0,2,0.36,0.3333,0.46,0.3284,10,43,53.0
43,02-01-2011,1,0,1,19,False,0,1,0.32,0.2879,0.42,0.4478,1,29,30.0
44,02-01-2011,1,0,1,20,False,0,1,0.3,0.197,0.39,0.3582,5,17,22.0
45,02-01-2011,1,0,1,21,False,0,1,0.26,0.2273,0.44,0.3284,11,20,31.0
46,02-01-2011,1,0,1,22,False,0,1,0.24,0.2121,0.44,0.2985,0,9,9.0
47,02-01-2011,1,0,1,23,False,0,1,0.22,0.2273,0.47,0.1642,0,8,8.0
48,03-01-2011,1,0,1,0,False,1,1,0.22,0.197,0.44,0.3582,0,5,5.0
49,03-01-2011,1,0,1,1,False,1,1,0.2,0.197,0.44,0.4179,0,2,2.0
50,03-01-2011,1,0,1,4,False,1,1,0.16,0.1364,0.47,0.3881,0,1,1.0
51,03-01-2011,1,0,1,5,False,1,1,0.16,0.1364,0.47,0.2836,0,3,3.0
52,03-01-2011,1,0,1,6,False,1,1,0.14,0.1061,0.5,0.3881,0,30,30.0
53,03-01-2011,1,0,1,7,False,1,1,0.14,0.1364,0.5,0.194,1,63,64.0
54,03-01-2011,1,0,1,8,False,1,1,0.14,0.1212,0.5,0.2836,1,153,154.0
55,03-01-2011,1,0,1,9,False,1,1,0.16,0.1364,0.43,0.3881,7,81,88.0
56,03-01-2011,1,0,1,10,False,1,1,0.18,0.1667,0.43,0.2537,11,33,44.0
57,03-01-2011,1,0,1,11,False,1,1,0.2,0.1818,0.4,0.3284,10,41,51.0
58,03-01-2011,1,0,1,12,False,1,1,0.22,0.2121,0.35,0.2985,13,48,61.0
59,03-01-2011,1,0,1,13,False,1,1,0.24,0.197,0.35,0.2836,8,53,61.0
60,03-01-2011,1,0,1,14,False,1,1,0.26,0.2424,0.3,0.2836,11,66,77.0
61,03-01-2011,1,0,1,15,False,1,1,0.26,0.2424,0.3,0.2537,14,58,72.0
62,03-01-2011,1,0,1,16,False,1,1,0.26,0.2424,0.3,0.2537,9,67,76.0
63,03-01-2011,1,0,1,17,False,1,1,0.24,0.2273,0.3,0.2239,11,146,157.0
64,03-01-2011,1,0,1,18,False,1,1,0.24,0.2576,0.32,0.1045,9,148,157.0
65,03-01-2011,1,0,1,19,False,1,1,0.2,0.2576,0.47,0.0,8,102,110.0
66,03-01-2011,1,0,1,20,False,1,1,0.2,0.197,0.47,0.1045,3,49,52.0
67,03-01-2011,1,0,1,21,False,1,1,0.18,0.197,0.64,0.1343,3,49,52.0
68,03-01-2011,1,0,1,22,False,1,1,0.14,0.1515,0.69,0.1343,0,20,20.0
69,03-01-2011,1,0,1,23,False,1,1,0.18,0.2121,0.55,0.1045,1,11,12.0
70,04-01-2011,1,0,1,0,False,2,1,0.16,0.197,0.55,0.1045,0,5,5.0
71,04-01-2011,1,0,1,1,False,2,1,0.16,0.1818,0.59,0.1045,0,2,2.0
72,04-01-2011,1,0,1,2,False,2,1,0.14,0.1515,0.63,0.1343,0,1,1.0
73,04-01-2011,1,0,1,4,False,2,1,0.14,0.1818,0.63,0.0896,0,2,2.0
74,04-01-2011,1,0,1,5,False,2,1,0.12,0.1515,0.68,0.1045,0,4,4.0
75,04-01-2011,1,0,1,6,False,2,1,0.12,0.1515,0.74,0.1045,0,36,36.0
76,04-01-2011,1,0,1,7,False,2,1,0.12,0.1515,0.74,0.1343,2,92,94.0
77,04-01-2011,1,0,1,8,False,2,1,0.14,0.1515,0.69,0.1642,2,177,179.0
78,04-01-2011,1,0,1,9,False,2,1,0.16,0.1515,0.64,0.2239,2,98,100.0
79,04-01-2011,1,0,1,10,False,2,2,0.16,0.1364,0.69,0.3284,5,37,42.0
80,04-01-2011,1,0,1,11,False,2,1,0.22,0.2121,0.51,0.2985,7,50,57.0
81,04-01-2011,1,0,1,12,False,2,1,0.22,0.2273,0.51,0.1642,12,66,78.0
82,04-01-2011,1,0,1,13,False,2,1,0.24,0.2273,0.56,0.194,18,79,97.0
83,04-01-2011,1,0,1,14,False,2,1,0.26,0.2576,0.52,0.2239,9,54,63.0
84,04-01-2011,1,0,1,15,False,2,1,0.28,0.2727,0.52,0.2537,17,48,65.0
85,04-01-2011,1,0,1,16,False,2,1,0.3,0.2879,0.49,0.2537,15,68,83.0
86,04-01-2011,1,0,1,17,False,2,1,0.28,0.2727,0.48,0.2239,10,202,183.5
87,04-01-2011,1,0,1,18,False,2,1,0.26,0.2576,0.48,0.194,3,179,182.0
88,04-01-2011,1,0,1,19,False,2,1,0.24,0.2576,0.48,0.1045,2,110,112.0
89,04-01-2011,1,0,1,20,False,2,1,0.24,0.2576,0.48,0.1045,1,53,54.0
90,04-01-2011,1,0,1,21,False,2,1,0.22,0.2727,0.64,0.0,0,48,48.0
91,04-01-2011,1,0,1,22,False,2,1,0.22,0.2576,0.64,0.0896,1,34,35.0
92,04-01-2011,1,0,1,23,False,2,1,0.2,0.2273,0.69,0.0896,2,9,11.0
93,05-01-2011,1,0,1,0,False,3,1,0.2,0.2576,0.64,0.0,0,6,6.0
94,05-01-2011,1,0,1,1,False,3,1,0.16,0.197,0.74,0.0896,0,6,6.0
95,05-01-2011,1,0,1,2,False,3,1,0.16,0.197,0.74,0.0896,0,2,2.0
96,05-01-2011,1,0,1,4,False,3,1,0.24,0.2273,0.48,0.2239,0,2,2.0
97,05-01-2011,1,0,1,5,False,3,1,0.22,0.2273,0.47,0.1642,0,3,3.0
98,05-01-2011,1,0,1,6,False,3,1,0.2,0.197,0.47,0.2239,0,33,33.0
99,05-01-2011,1,0,1,7,False,3,1,0.18,0.1818,0.43,0.194,1,87,88.0
100,05-01-2011,1,0,1,8,False,3,1,0.2,0.1818,0.4,0.2985,3,192,183.5
101,05-01-2011,1,0,1,9,False,3,1,0.22,0.197,0.37,0.3284,6,109,115.0
102,05-01-2011,1,0,1,10,False,3,1,0.22,0.197,0.37,0.3284,4,53,57.0
103,05-01-2011,1,0,1,11,False,3,1,0.26,0.2273,0.33,0.3284,12,34,46.0
104,05-01-2011,1,0,1,12,False,3,1,0.26,0.2273,0.33,0.3284,5,74,79.0
105,05-01-2011,1,0,1,13,False,3,1,0.28,0.2576,0.3,0.2985,6,65,71.0
106,05-01-2011,1,0,1,14,False,3,1,0.3,0.2879,0.28,0.194,10,52,62.0
107,05-01-2011,1,0,1,15,False,3,1,0.3,0.2879,0.28,0.194,7,55,62.0
108,05-01-2011,1,0,1,16,False,3,1,0.3,0.3182,0.28,0.0896,4,85,89.0
109,05-01-2011,1,0,1,17,False,3,1,0.24,0.2273,0.38,0.194,4,186,183.5
110,05-01-2011,1,0,1,18,False,3,1,0.24,0.2424,0.38,0.1343,3,166,169.0
111,05-01-2011,1,0,1,19,False,3,1,0.24,0.2576,0.38,0.1045,5,127,132.0
112,05-01-2011,1,0,1,20,False,3,1,0.22,0.2273,0.47,0.1642,7,82,89.0
113,05-01-2011,1,0,1,21,False,3,1,0.2,0.197,0.51,0.194,3,40,43.0
114,05-01-2011,1,0,1,22,False,3,1,0.18,0.197,0.55,0.1343,1,41,42.0
115,05-01-2011,1,0,1,23,False,3,1,0.2,0.2576,0.47,0.0,1,18,19.0
116,06-01-2011,1,0,1,0,False,4,1,0.18,0.2424,0.55,0.0,0,11,11.0
117,06-01-2011,1,0,1,1,False,4,1,0.16,0.2273,0.64,0.0,0,4,4.0
118,06-01-2011,1,0,1,2,False,4,1,0.16,0.2273,0.64,0.0,0,2,2.0
119,06-01-2011,1,0,1,4,False,4,2,0.16,0.197,0.64,0.0896,0,1,1.0
120,06-01-2011,1,0,1,5,False,4,2,0.14,0.1818,0.69,0.0896,0,4,4.0
121,06-01-2011,1,0,1,6,False,4,2,0.14,0.1667,0.63,0.1045,0,36,36.0
122,06-01-2011,1,0,1,7,False,4,2,0.16,0.2273,0.59,0.0,0,95,95.0
123,06-01-2011,1,0,1,8,False,4,1,0.16,0.2273,0.59,0.0,3,216,183.5
124,06-01-2011,1,0,1,9,False,4,2,0.18,0.2424,0.51,0.0,6,116,122.0
125,06-01-2011,1,0,1,10,False,4,1,0.2,0.2576,0.47,0.0,3,42,45.0
126,06-01-2011,1,0,1,11,False,4,1,0.22,0.2576,0.44,0.0896,2,57,59.0
127,06-01-2011,1,0,1,12,False,4,1,0.26,0.2879,0.35,0.0,6,78,84.0
128,06-01-2011,1,0,1,13,False,4,1,0.26,0.2727,0.35,0.1045,12,55,67.0
129,06-01-2011,1,0,1,14,False,4,1,0.28,0.2727,0.36,0.1642,11,59,70.0
130,06-01-2011,1,0,1,15,False,4,1,0.28,0.2727,0.36,0.0,8,54,62.0
131,06-01-2011,1,0,1,16,False,4,1,0.26,0.2576,0.38,0.1642,12,74,86.0
132,06-01-2011,1,0,1,17,False,4,1,0.22,0.2273,0.51,0.1642,9,163,172.0
